panel zone shear distortion (rad),panel zone shear force (kN)
0.000951879,1035.232512
0.000968354,1053.611708
0.000988399,1071.868313
0.00100982,1089.059321
0.00102766,1106.36349
0.00102766,1088.106885
0.00102574,1069.96344
0.00102574,1051.461653
0.00102657,1032.959866
0.00102712,1014.458079
0.00102657,996.5598158
0.00102712,977.935438
0.00102574,959.5562418
0.00102794,941.534445
0.00102245,922.7950202
0.00100762,904.8920421
0.000994714,886.988121
0.000977964,868.9653812
0.000961215,850.4654802
0.000940621,832.0843979
0.000926617,813.8230777
0.000906297,795.4419954
0.000887351,776.942094
0.000869503,758.6798308
0.000849184,740.8956714
0.000834905,722.5155321
0.00081486,704.4927923
0.000801955,686.3502908
0.000782734,667.8503898
0.000762964,649.110965
0.00074539,631.0882252
0.000730288,612.8269046
0.000711342,594.6844031
0.00069569,576.1845021
0.000677018,558.280581
0.00065917,539.9004417
0.000644343,521.8767589
0.000625122,503.7352004
0.000603979,485.5926989
0.000585307,467.2116166
0.000567733,448.8314774
0.000547689,430.9275562
0.000532037,412.7850546
0.000514683,394.4049153
0.000489559,376.3821755
0.000470914,358.1199121
0.000452709,339.9783535
0.000435767,322.0744325
0.000418935,304.0516927
0.000404931,286.1487147
0.000383843,267.6478706
0.000366187,249.7448926
0.000345841,231.2449915
0.000332715,212.8639093
0.000314099,194.3630652
0.000290457,176.2215065
0.000274613,157.7206624
0.000251246,139.5791038
0.000227549,120.7208603
0.000209481,102.6736023
0.000191771,84.43623422
0.000170078,65.88823983
0.000152038,47.96093227
0.000142455,29.87850015
0.000127929,11.79597373
0.000111015,-6.128948014
8.54E-05,-23.13845565
7.05E-05,-41.5324571
5.01E-05,-59.7581319
3.21E-05,-77.68543946
1.44E-05,-96.5440602
-3.38E-06,-114.7695464
-2.20E-05,-133.0308669
-3.93E-05,-150.9347879
-5.53E-05,-169.3149271
-7.22E-05,-187.8157712
-9.37E-05,-206.3156723
-0.000109356,-224.8155733
-0.00012754,-243.0778368
-0.000145253,-261.5777379
-0.000161731,-279.4816589
-0.000177767,-297.8617981
-0.000192567,-316.481461
-0.000216621,-334.5042008
-0.000234798,-352.7655213
-0.00024872,-371.0277848
-0.000269012,-388.9307627
-0.00028631,-406.8346837
-0.000299408,-425.0960042
-0.000324725,-443.5959053
-0.000336999,-461.4998261
-0.000356824,-479.0454047
-0.000381317,-496.9483828
-0.000400346,-515.3294651
-0.000418485,-533.8293661
-0.000431165,-552.0906867
-0.00045185,-570.471769
-0.000469605,-588.7330892
-0.000491964,-606.8755907
-0.000506748,-622.8689806
-0.000519846,-641.1312442
-0.000534206,-659.0342223
-0.000557436,-677.1767238
-0.000579403,-695.0797019
-0.000600519,-713.3410221
-0.000618257,-730.8866007
-0.00063259,-748.9093405
-0.00064783,-767.4101845
-0.000667655,-785.5517434
-0.000685833,-803.9328257
-0.00069764,-817.659228
-0.00071579,-836.159129
-0.000735642,-854.4204492
-0.000750854,-871.4888666
-0.000774606,-890.1085297
-0.000789653,-908.1312695
-0.000808243,-925.1987435
-0.000826063,-943.8174636
-0.000842511,-961.8383174
-0.000859481,-977.4733648
-0.000874638,-994.0702788
-0.000890948,-1011.73279
-0.000896,-1019.606894
-0.000916018,-1037.278835
-0.000917144,-1018.777048
-0.000916457,-1000.511013
-0.000916457,-982.3675682
-0.000916292,-963.8657812
-0.000916732,-946.5616124
-0.000915908,-928.6605204
-0.000915606,-910.8763614
-0.000914645,-892.7338594
-0.000904622,-874.8308818
-0.000897318,-856.9269607
-0.000884605,-838.5458784
-0.000867087,-820.2845577
-0.000848744,-802.0232376
-0.000834109,-784.0004978
-0.00081876,-767.5290036
-0.000796134,-749.0291022
-0.000780839,-730.8866007
-0.0007589,-712.8638609
-0.000737757,-694.7223025
-0.000714527,-676.1026393
-0.000700605,-658.3184804
-0.000681165,-640.1759789
-0.00066469,-622.2730008
-0.000646951,-604.3690796
-0.000630915,-588.1371093
-0.000611475,-569.9946074
-0.000593737,-552.0906867
-0.000568832,-533.8293661
-0.000547304,-515.6878076
-0.000534206,-497.425544
-0.000518582,-479.5225659
-0.000501284,-460.9029032
-0.000477631,-442.7604015
-0.000464113,-424.2605004
-0.000443401,-406.1179988
-0.00042694,-387.2597552
-0.000414284,-368.6400924
-0.000394011,-351.2142756
-0.000375414,-332.9529552
-0.000349685,-314.6916347
-0.000334885,-296.5491331
-0.00031462,-278.5263933
-0.000297706,-260.145311
-0.00028167,-241.7642288
-0.000262257,-223.3840895
-0.000247045,-205.0030072
-0.00023013,-186.621925
-0.00020734,-168.2408427
-0.000194242,-150.3378648
-0.000180732,-131.9567825
-0.000163845,-114.0057112
-0.000147793,-95.6246289
-0.000130478,-77.3870722
-0.000117402,-59.45976463
-9.75E-05,-41.22211367
-8.15E-05,-23.2912227
-6.42E-05,-4.903162183
-4.94E-05,13.94442539
-3.00E-05,32.33720094
-1.31E-05,50.71809459
8.87E-06,69.26608903
2.45E-05,87.34852116
4.31E-05,105.4309532
6.05E-05,123.3461903
7.59E-05,141.1303495
0.000102503,159.2728511
0.00011604,177.4144097
0.000126639,195.4380926
0.000138913,213.4608324
0.000158381,231.3638103
0.000176998,249.6251308
0.00019545,268.1259749
0.000214644,286.2675335
0.000240345,304.7683776
0.000260554,323.3880405
0.000279583,341.7681798
0.000299902,359.6721008
0.000315856,377.9334212
0.00032953,395.8373422
0.000347159,414.0986626
0.000366901,432.7183255
0.000386754,451.4568071
0.000403641,470.315051
0.000423191,488.5763712
0.00043876,507.1960343
0.000456032,525.4582975
0.000471848,543.7196181
0.000492469,561.9809387
0.000513915,580.3620205
0.000529291,598.3847608
0.000551533,616.7658426
0.000565537,635.1459819
0.000584758,653.4082456
0.000606724,671.3112237
0.000623474,689.692306
0.000638027,707.8348075
0.000655052,725.7377856
0.000675096,743.9991057
0.000689649,762.0218455
0.000709145,780.2841092
0.000723698,798.1870873
0.000739075,816.8067499
0.000761316,835.3066509
0.000779164,853.210572
0.000791246,871.4718927
0.000810467,889.3748703
0.000824745,906.0849453
0.000842319,924.4660276
