Total story drift angle (rad),Force in the actuator (kN)
0.011729433,-419.6434465
0.00763773,-495.1804767
0.004364433,-545.5387935
0.000545554,-604.2864561
-0.003273319,-646.2509787
-0.007092199,-675.6270342
-0.011865816,-709.1977626
-0.016230213,-734.3746968
-0.020867447,-746.9676122
-0.026732128,-751.1622851
-0.031505745,-746.9676122
-0.036006525,-734.3746968
-0.039007092,-725.9853509
-0.040643759,-717.5915567
-0.040098227,-637.8571846
-0.039007092,-558.1272606
-0.036688511,-444.82216
-0.034369858,-327.3219416
-0.031232979,-188.8394619
-0.026459362,0
-0.023458794,96.5179571
-0.019639929,201.4288187
-0.015821064,281.1609668
-0.01254773,348.3042029
-0.008728865,415.4469942
-0.005455539,469.9990943
-0.00163666,516.162738
0.00163666,558.1272606
0.006546645,612.6802503
0.010365532,654.6447729
0.014729929,688.2155013
0.019094397,713.3924355
0.023458794,730.1800239
0.027550496,742.768491
0.031778511,746.9676122
0.037506809,738.573818
0.04200766,730.1800239
0.046781206,713.3924355
0.049099858,705.0030896
0.049236241,679.8217071
0.049236241,654.6447729
0.049918156,692.4101743
0.050736525,696.6092954
0.050327305,650.4456517
0.049509007,574.9104007
0.048145106,461.6097483
0.046644823,373.4829164
0.04650844,390.2682807
0.045962908,352.5006552
0.044326241,272.7685071
0.04159844,167.8572007
0.038188794,58.74988678
0.036279291,0
0.033142411,-75.53569581
0.028777943,-180.4465574
0.024413546,-255.9826981
0.020321844,-318.9290371
0.015548298,-390.2682807
0.010774681,-444.82216
0.005591929,-511.9636168
0.000681942,-558.1272606
-0.004364433,-595.892662
-0.00941078,-625.2687174
-0.015002695,-654.6447729
-0.022231348,-675.6270342
-0.028232411,-675.6270342
-0.035188227,-675.6270342
-0.040098227,-667.23324
-0.04473539,-654.6447729
-0.048827092,-642.0563057
-0.050327305,-637.8571846
-0.050327305,-579.1095219
-0.049099858,-499.3751497
-0.046781206,-398.6611852
-0.043644326,-276.9649593
-0.040643759,-176.2501052
-0.036552128,-54.55387935
-0.034506241,0
0,0
