Total story drift angle (rad),Force in the actuator (kN)
-0.015389313,-1391.080209
-0.017038168,-1414.187854
-0.019236641,-1432.67397
-0.021160305,-1455.781615
-0.022900763,-1460.403143
-0.024274809,-1441.917028
-0.026381679,-1432.67397
-0.027755725,-1432.67397
-0.029129771,-1455.781615
-0.030229008,-1455.781615
-0.030687023,-1418.809383
-0.029496183,-1215.46211
-0.026015267,-790.2814479
-0.022259542,-388.2084305
-0.018778626,-106.2951655
-0.013557252,254.1840914
-0.009709924,531.4758275
-0.006229008,697.8508692
-0.004030534,785.659919
-0.001648855,873.4689687
5.50E-04,928.9273159
0.001740458,942.7919028
0.003114504,956.6564896
0.005679389,979.7641342
0.007145038,1012.114837
0.009435115,1067.573184
0.010992366,1109.166944
0.013465649,1155.382234
0.015389313,1192.354465
0.017862595,1215.46211
0.020061069,1238.569755
0.022442748,1266.298928
0.023908397,1284.785044
0.025832061,1289.406573
0.027480916,1289.406573
0.029496183,1275.541986
0.031419847,1266.298928
0.033068702,1252.434341
0.034259542,1252.434341
0.035450382,1252.434341
0.036732824,1238.569755
0.038015267,1229.326697
0.038381679,1183.111407
0.03810687,1109.166944
0.037099237,993.628721
0.034259542,716.3369849
0.031419847,448.2883067
0.029129771,231.0764468
0.026564885,41.59376042
0.023450382,-161.7535127
0.020793893,-323.5070255
0.017770992,-503.7466539
0.013374046,-683.9862824
0.010992366,-776.4168611
0.008061069,-850.3613241
0.005954198,-882.7120266
0.002564885,-938.1703738
-9.16E-05,-979.7641342
-0.002290076,-1012.114837
-0.005038168,-1035.222481
-0.008152672,-1072.194713
-0.010259542,-1104.545415
-0.011450382,-1123.031531
-0.014839695,-1178.489878
-0.017221374,-1215.46211
-0.020244275,-1266.298928
-0.024274809,-1289.406573
-0.027022901,-1307.892689
-0.029496183,-1312.514218
-0.03178626,-1321.757275
-0.034076336,-1331.000333
-0.035908397,-1331.000333
-0.037648855,-1331.000333
-0.039022901,-1312.514218
-0.039572519,-1289.406573
-0.040030534,-1247.812812
-0.039114504,-1136.896118
-0.037740458,-998.25025
-0.033435115,-619.2848773
-0.030870229,-383.5869016
-0.028671756,-207.9688021
-0.026748092,-78.5659919
-0.024091603,69.32293403
-0.021160305,207.9688021
-0.01951145,291.1563229
-0.018045802,360.4792569
-0.016396947,415.9376042
-0.013832061,503.7466539
-0.011541985,554.5834722
-0.010167939,573.0695879
-0.008885496,605.4202905
-0.007145038,633.1494641
-0.006229008,656.2571088
-0.00540458,660.8786377
-0.005312977,628.5279352
-0.006229008,540.7188854
-0.007328244,434.4237199
-0.008335878,341.9931412
-0.009709924,231.0764468
-0.010900763,143.267397
-0.011725191,64.70140509
-0.012458015,4.621528935
-0.011541985,120.1597523
-0.010625954,207.9688021
-0.009343511,323.5070255
-0.007877863,439.0452488
-0.007145038,522.2327697
-0.006045802,586.9341748
-0.004763359,633.1494641
-0.002564885,683.9862824
-5.50E-04,716.3369849
0.001374046,739.4446296
0.002839695,757.9307454
0.005038168,781.03839
0.006778626,804.1460347
0.008335878,818.0106215
0.009801527,841.1182662
0.010900763,868.8474398
0.012916031,901.1981423
0.014839695,938.1703738
0.017679389,989.0071921
0.019877863,1030.600953
0.022534351,1062.951655
0.024183206,1081.437771
0.026015267,1099.923887
0.027572519,1113.788473
0.029129771,1118.410002
0.030870229,1132.274589
0.032610687,1141.517647
0.034625954,1150.760705
0.035725191,1164.625292
0.036732824,1178.489878
0.037832061,1178.489878
0.038473282,1150.760705
0.037740458,1053.708597
0.036,891.9550845
0.035083969,785.659919
0.032793893,568.448059
0.030412214,369.7223148
0.029129771,281.913265
0.027022901,138.6458681
0.025374046,23.10764468
0.022717557,-110.9166944
0.019419847,-268.0486782
0.017312977,-360.4792569
0.014564885,-466.7744224
0.012091603,-545.3404143
0.010351145,-596.1772326
0.008885496,-623.9064062
0.007328244,-670.1216956
0.006320611,-702.4723981
0.003938931,-739.4446296
0.003022901,-757.9307454
0.001923664,-762.5522743
7.33E-04,-762.5522743
-6.41E-04,-767.1738032
-0.002839695,-790.2814479
-0.004122137,-808.7675636
-0.005770992,-836.4967372
-0.007969466,-873.4689687
-0.009984733,-905.8196713
-0.012641221,-947.4134317
-0.014473282,-989.0071921
-0.017312977,-1044.465539
-0.019419847,-1081.437771
-0.021435115,-1109.166944
-0.022992366,-1132.274589
-0.024458015,-1155.382234
-0.026381679,-1183.111407
-0.027480916,-1206.219052
-0.029770992,-1224.705168
-0.031236641,-1233.948226
-0.033435115,-1252.434341
-0.034992366,-1270.920457
-0.036549618,-1275.541986
-0.038656489,-1294.028102
-0.039389313,-1294.028102
-0.039755725,-1252.434341
-0.039480916,-1196.975994
-0.03810687,-1081.437771
-0.036458015,-910.4412002
-0.03389313,-670.1216956
-0.030961832,-397.4514884
-0.028580153,-207.9688021
-0.026473282,-78.5659919
-0.024,64.70140509
-0.021343511,184.8611574
-0.018778626,323.5070255
-0.017038168,402.0730174
-0.014839695,485.2605382
-0.012641221,549.9619433
-0.011450382,600.7987616
-0.008885496,670.1216956
-0.00751145,702.4723981
-0.005587786,725.5800428
-0.003755725,744.0661585
-0.002198473,748.6876875
-1.83E-04,762.5522743
0.001648855,781.03839
0.003389313,781.03839
0.006870229,808.7675636
0.009526718,841.1182662
0.012274809,887.3335555
0.014931298,952.0349606
0.016580153,975.1426053
0.019053435,1007.493308
0.020977099,1044.465539
0.023541985,1081.437771
0.026564885,1099.923887
0.029312977,1123.031531
0.030778626,1132.274589
0.032061069,1136.896118
0.03480916,1150.760705
0.036641221,1164.625292
0.037923664,1164.625292
0.04048855,1150.760705
0.041862595,1136.896118
0.044061069,1127.65306
0.046625954,1113.788473
0.048549618,1109.166944
0.049740458,1109.166944
0.050931298,1109.166944
0.052030534,1109.166944
0.052396947,1086.0593
0.051938931,1035.222481
0.049007634,781.03839
0.04680916,614.6633484
0.045068702,476.0174803
0.043419847,369.7223148
0.04140458,235.6979757
0.039664122,115.5382234
0.03810687,27.72917361
0.035175573,-106.2951655
0.032152672,-212.590331
0.029954198,-286.534794
0.027664122,-365.1007859
0.024824427,-443.6667778
0.02280916,-503.7466539
0.020152672,-554.5834722
0.017587786,-591.5557037
0.015572519,-614.6633484
0.012549618,-637.770993
0.010442748,-656.2571088
0.00870229,-665.5001666
0.005312977,-683.9862824
0.001832061,-707.0939271
-8.24E-04,-725.5800428
-0.003755725,-748.6876875
-0.006503817,-771.7953322
-0.008244275,-790.2814479
-0.01080916,-818.0106215
-0.012458015,-841.1182662
-0.014564885,-878.0904977
-0.016854962,-910.4412002
-0.018320611,-942.7919028
