Total story drift angle (rad),Force in the actuator (kN)
0.015497301,10.52833515
0.013739399,-147.3966921
0.011796453,-263.2083787
0.00920586,-436.9259086
0.006707787,-610.6434386
0.0045798,-731.7192928
0.001063994,-926.493493
2.31E-04,-958.0784985
-0.002081727,-1031.776844
-0.003284503,-1068.626018
-0.004949884,-1100.211023
-0.006522745,-1131.796028
-0.007632999,-1168.645201
-0.009113338,-1273.928553
-0.011333847,-1342.362731
-0.012721665,-1368.683569
-0.014849653,-1389.74024
-0.01688512,-1400.268575
-0.019938319,-1410.79691
-0.021973786,-1410.79691
-0.024286816,-1410.79691
-0.026507325,-1405.532742
-0.028265227,-1389.74024
-0.030393215,-1389.74024
-0.032428682,-1368.683569
-0.033261372,-1342.362731
-0.033723978,-1258.13605
-0.033353894,-989.6635039
-0.032243639,-779.0968009
-0.030578258,-568.530098
-0.028727833,-373.7558978
-0.027432537,-231.6233733
-0.026044719,-110.5475191
-0.024841943,0
-0.022806476,152.6608596
-0.020585968,268.4725463
-0.019013107,363.2275626
-0.017162683,468.5109141
-0.014387047,610.6434386
-0.011796453,715.9267901
-0.008743254,826.4743091
-0.005042406,921.2293254
-0.001434079,1005.456007
-2.31E-04,1021.248509
0.001249036,1052.833515
0.002081727,1042.30518
0.001989206,989.6635039
9.71E-04,858.0593146
1.39E-04,758.0401307
-0.001156515,626.4359413
-0.003191981,368.4917302
-0.004394757,226.3592057
-0.005505012,121.0758542
-0.005875096,52.64167574
-0.006800308,-10.52833515
-0.00689283,47.37750817
-0.005782575,163.1891948
-0.003747109,389.5484005
-0.001989206,589.5867683
-7.86E-04,736.9834604
3.24E-04,873.8518173
0.001156515,952.8143309
0.002174248,1026.512677
0.003747109,1068.626018
0.005782575,1116.003526
0.010408635,1189.701872
0.011981496,1216.02271
0.014849653,1247.607715
0.017810332,1284.456888
0.020585968,1300.249391
0.022991519,1321.306061
0.025026985,1326.570229
0.027895143,1326.570229
0.030393215,1326.570229
0.03307633,1316.041893
0.034464148,1305.513558
0.036592136,1289.721056
0.038812645,1273.928553
0.040292984,1247.607715
0.040848111,1200.230207
0.040848111,1163.381034
0.04075559,1058.097682
0.038720123,837.0026443
0.036407093,647.4926116
0.034371627,442.1900762
0.031966076,252.6800436
0.029930609,78.96251361
0.026969931,-115.8116866
0.024564379,-252.6800436
0.022898998,-347.4350599
0.020956052,-442.1900762
0.019383192,-521.1525898
0.017162683,-605.379271
0.015219738,-668.5492819
0.013369314,-726.4551252
0.010963763,-789.6251361
